snapshot,source_file,source_sha256,page,sl_no,project_code,legacy_ocms_code,pmgid,project_name,agency_raw,table_section,state,approval_month,start_month,doc_original,doc_revised,cost_original_cr,cost_revised_cr,expenditure_cum_cr,physical_progress_pct,parse_flags
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,1,612786,,,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Andhra Pradesh,2023-03,2024-01,2026-01,2026-03,265.91,265.91,88.87,46.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,2,701107,,,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Andhra Pradesh,2020-06,2020-09,2022-09,2026-03,611.8,611.8,523.14,87.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,3,701121,,,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Andhra Pradesh,2022-12,2023-08,2025-08,2026-03,347.15,347.15,129.31,68.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,4,706724,,,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,Aviation & Aviation Infrastructure,Assam,2016-12,2018-03,2025-03,2026-03,1712.0,2520.0,2514.59,96.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,5,612183,,,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Bihar,2024-08,2025-03,2027-03,,1413.0,1413.0,0.0,1.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,6,612194,,,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Bihar,2024-07,2024-07,2026-07,,911.66,911.66,258.93,48.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,7,701101,,,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Bihar,2018-12,2018-10,2023-07,2026-05,1216.9,1216.9,1166.71,97.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,8,701105,,,Goa Airport Terminal Building Extension Project,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Goa,2017-11,2019-12,2021-12,2026-01,255.69,255.69,154.3,98.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,9,701126,,,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Gujarat,2022-06,2022-07,2026-06,2026-06,1305.0,1551.0,739.77,72.0,NO_LEGACY_CODE;NO_PMGID
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,10,611047,,,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Jammu and Kashmir,2022-07,2023-07,2026-06,2026-06,861.37,861.37,248.88,42.0,NO_LEGACY_CODE;NO_PMGID;MULTILINE_STATE
2025-12,FlashReport_December_2025.pdf,07f56e5457c63192ae7b5b4036f975f7eb058a3364a25a87cdc6ce2369082401,50,11,612787,,,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],Aviation & Aviation Infrastructure,Karnataka,2023-06,2024-01,2026-01,2026-03,320.47,320.47,99.39,59.0,NO_LEGACY_CODE;NO_PMGID
